datetime|unixtime|sig_bl|signal|position|total_profit|shares|position_size|capital
2025-01-20 03:45:00+00:00|1737344700.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 03:50:00+00:00|1737345000.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 03:55:00+00:00|1737345300.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 04:00:00+00:00|1737345600.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 04:05:00+00:00|1737345900.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 04:10:00+00:00|1737346200.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 04:15:00+00:00|1737346500.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 04:20:00+00:00|1737346800.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 04:25:00+00:00|1737347100.0|0|0|NONE|1.0146949398697132|0.0|0.0|101.01469493986971
2025-01-20 04:30:00+00:00|1737347400.0|1|1|LONG|1.0146949398697132|0.0004917984917155007|49.99999999999999|51.01469493986972
2025-01-20 04:35:00+00:00|1737347700.0|1|0|NONE|1.1214805295591646|0.0004917984917155007|0.0|51.01469493986972
2025-01-20 04:40:00+00:00|1737348000.0|1|0|NONE|1.2194521681548878|0.0004917984917155007|0.0|51.01469493986972
2025-01-20 04:45:00+00:00|1737348300.0|1|0|NONE|1.3955160281890358|0.0004917984917155007|0.0|51.01469493986972
2025-01-20 04:50:00+00:00|1737348600.0|1|0|NONE|1.3099277219276786|0.0004917984917155007|0.0|51.01469493986972
2025-01-20 04:55:00+00:00|1737348900.0|1|0|NONE|1.2565061107650877|0.0004917984917155007|0.0|51.01469493986972
2025-01-20 05:00:00+00:00|1737349200.0|1|0|NONE|1.3441346123319136|0.0004917984917155007|0.0|51.01469493986972
2025-01-20 05:05:00+00:00|1737349500.0|0|-1|SHORT|1.409013591481198|0.0|50.39431865161148|101.4090135914812
2025-01-20 05:10:00+00:00|1737349800.0|1|1|LONG|1.409013591481198|0.00048812655046915823|50.0|51.4090135914812
2025-01-20 05:15:00+00:00|1737350100.0|0|-1|SHORT|1.472893340285168|0.0|50.06387974880397|101.47289334028517
2025-01-20 05:20:00+00:00|1737350400.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 05:25:00+00:00|1737350700.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 05:30:00+00:00|1737351000.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 05:35:00+00:00|1737351300.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 05:40:00+00:00|1737351600.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 05:45:00+00:00|1737351900.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 05:50:00+00:00|1737352200.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 05:55:00+00:00|1737352500.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 06:00:00+00:00|1737352800.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 06:05:00+00:00|1737353100.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 06:10:00+00:00|1737353400.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 06:15:00+00:00|1737353700.0|0|0|NONE|1.472893340285168|0.0|0.0|101.47289334028517
2025-01-20 06:20:00+00:00|1737354000.0|1|1|LONG|1.472893340285168|0.0004875175696761634|50.0|51.47289334028517
